Timestamp,What is your age group?,What gender do you identify with?,How would you describe your ethnicity?,Do you consider yourself to have a disability or long term health condition?,What is your sexual orientation?,Please indicate the following about your employment status:,What is your religious belief?,Where do you currently live?,Had you been to a sauna before you came to Community Sauna?,How did you hear about the Community Sauna?,How often do you visit our sauna?,Which of our sauna locations do you visit most often?,Have you experienced any physical health improvements from using the sauna?,Have you experienced any mental health improvements from using the sauna?,"How important is having regular access to sauna?

On a scale of 1 to 5, where 1 is low and 5 is high",What do you enjoy most about the community sauna?,Are you satisfied with the temperature at our saunas?,"If you’re not satisfied, could you please explain why",Are you satisfied with the amount of customers during the sessions?,"If you’re not satisfied, could you please explain why2",Do you feel a sense of belonging or community when using the sauna?,"How would you rate  the overall cleanliness and hygiene of the sauna facilities?

On a scale of 1 to 5, where 1 is low and 5 is high","How would you rate the staff’s friendliness and professionalism? 

On a scale of 1 to 5, where 1 is low and 5 is high","How would you rate the overall ambiance and atmosphere of the sauna?

On a scale of 1 to 5, where 1 is low and 5 is high","Are the sauna prices reasonable and in line with your expectations?

On a scale of 1 to 5, where 1 is low and 5 is high",What improvements or additions would you like to see in the sauna facilities or services?,"Do you know of any specific location where we could set up a community sauna? (e.g., a park, unused building, or local space)","What improvements would you suggest for the facilities, services, or events?",Are you familiar with our social prescribing offers and services?,"If yes, how did you hear about it?",Please share why community sauna is important to you?,In which area of London would you like us to set up a sauna?,What topics would you like to hear more about from us in our communications? (Select all that apply),Is there anything else you would like to share or comment on regarding your experiences at the community sauna in London?
45693.3995494676,25–34,Female,"White (e.g., British, Irish, other European background)",No,Heterosexual,Employed,Spiritual but not Religious,South East London,Never,Word of mouth,Monthly,Peckham,Not sure,Yes,4,"Improved mood, Improved sense of belonging to the local community., Assists me with my mental health resilience, Helped me connect with the outdoors",Yes,,Yes,,4,4,5,5,4,,,,No,,Such a relaxing space and sense of community,South East London,"Sauna health benefits, Upcoming events",Thank you for all you do!!
45693.4102722801,55–64,Female,"White (e.g., British, Irish, other European background)",No,Heterosexual,Business owner,Atheism,East London,Once or twice,Word of mouth,Monthly,Hackney Wick,Yes,Yes,5,"Improved mood, Improved sense of belonging to the local community., Improved my health, I made new friends at the sauna, Increased my body confidence",Yes,,Yes,,5,4,5,5,3,The question above is unclear. Is 5 resonable pricing or high pricing? ,,,No,,,,Upcoming events,
45693.4353412384,45–54,Male,"Asian or Asian British (e.g., Indian, Pakistani, Bangladeshi, Chinese)",No,Bisexual/Pansexual,Employed,Hinduism,North London,I was already a regular sauna user,Word of mouth,Weekly,Hackney Wick,Yes,Yes,5,"Improved mood, Assists me with my mental health resilience, Improved my health, I made new friends at the sauna",Sometimes,Hotter please ,Yes,,4,4,4,4,5,Longer sessions please ,,Hot showers ,No,,,North East London,Upcoming events,
45693.4357019792,25–34,Male,"White (e.g., British, Irish, other European background)",No,Heterosexual,Employed,Agnosticism,East London,I was already a regular sauna user,Found when I went to Library of things ,Weekly,Hackney Wick,Yes,Yes,5,"Helped with physical pain management, Improved my fitness performance, Improved mood, Improved my health",Yes,,No,The Hackney Wick sauna is often too busy ,4,4,5,4,3,it's getting a little busy and crowded at times but otherwise great experience and the staff are truly lovely,No,,Yes,Social Media,,,"Sauna etiquette or best practices, Upcoming events, Not-for-profit work",Thank you for all your work 
45693.4422128357,35–44,Female,"White (e.g., British, Irish, other European background)",No,Heterosexual,Maternity leave,,East London,Once or twice,Word of mouth,Weekly,Hackney Wick,Yes,Yes,4,"Improved mood, Improved sense of belonging to the local community., Increased my body confidence",Sometimes,,Yes,,4,3,5,5,5,,,,Yes,Social Media,"It’s been a revelation finding out how great sauna makes me feel, in mind and body, since you opened. Sharing that experience with people you don’t know, just met, only see at the sauna, or best friends, makes it feel even more beneficial. ",,"Behind the scenes, Sauna etiquette or best practices, Not-for-profit work","As a new parent I am loving your parent 2 for 1, split session offer. Thank you! "
45693.4495765972,35–44,Female,"White (e.g., British, Irish, other European background)",No,Heterosexual,Self employed,Prefer not to say,North London,I was already a regular sauna user,Word of mouth,Monthly,Hackney Wick,Yes,Yes,4,"Helped with physical pain management, Improved mood, Assists me with my mental health resilience, Improved my health",Sometimes,Sometimes they are not kept warm enough especially if people are coming and going. ,No,The last time I went there was a private booking and one of the saunas was out of order. This really changes the experience and meant all the saunas were too crowded and not warm enough.,3,4,5,4,4,One more sauna would reduce pressure on the others. Also the app is extremely glitchy. ,,Making a better app/smoother booking experience would make a big difference.  ,No,,I simply love sauna and cold dips.,North West London,No need for more comms.,
45693.4537062731,35–44,Female,"Mixed or multiple ethnic groups (e.g., White and Black Caribbean, White and Asian)",Yes,Homosexual,Employed,Spiritual but not Religious,South East London,Once or twice,Word of mouth,Monthly,Hackney Wick,Not sure,Yes,5,"Improved mood, Improved sense of belonging to the local community., Assists me with my mental health resilience, I made new friends at the sauna",Yes,,Yes,,5,5,5,5,5,,,,Yes,Posters,Sense of belonging,South East London,"Sauna etiquette or best practices, Upcoming events",You guys are amazing
45693.462179456,25–34,Female,"White (e.g., British, Irish, other European background)",No,Bisexual/Pansexual,Student,Prefer not to say,East London,Once or twice,Word of mouth,Monthly,Hackney Wick,Not sure,Yes,5,"Improved mood, Improved sense of belonging to the local community., Assists me with my mental health resilience",Yes,,No,Can be super busy sometimes hard to find a seat - but also it books up so quickly!,5,4,5,5,5,wood fired hot tub!?,,Not sure I can think of any!,Yes,Email from you ,So good to have a space to unwind and take time out,Central London,"Behind the scenes, Upcoming events",Just thank you! Love it so much
45693.4622728704,35–44,Female,"White (e.g., British, Irish, other European background)",Yes,Prefer not to Say,Self employed,Atheism,South East London,I was already a regular sauna user,Word of mouth,Monthly,Bermondsey,Yes,Yes,5,"Helped with physical pain management, Improved mood, Assists me with my mental health resilience",Yes,,No,the Peckham site sometimes feels busy and people talk / have loud gossipy conversations too much!,3,3,5,4,4,silence sessions and social sessions so people can pick what they are up for.  ,no currently ,past comment about types of sessions.,No,,local and affordable... being outside in a community garden and deeply relaxing... this all feels very rare in London.,South East London,"Sauna health benefits, Sauna etiquette or best practices",
45693.4767438079,35–44,Female,"White (e.g., British, Irish, other European background)",Yes,Bisexual/Pansexual,Student,Spiritual but not Religious,North London,I was already a regular sauna user,Instagram,Rarely,Hackney Wick,Yes,Yes,5,"Helped with physical pain management, Improved my fitness performance, Improved mood, Improved sense of belonging to the local community., Assists me with my mental health resilience, Improved my health, Helped me connect with the outdoors, I made new friends at the sauna, Increased my body confidence",Yes,,Yes,,5,4,5,4,4,German (nude) sauna sessions / Regular “Aufgüsse”,"Butterfield Green, Arcola Northside ",More spacious changing rooms and showers ,Yes,Social Media,Health and Community ,North East London,"Sauna health benefits, Behind the scenes, Sauna etiquette or best practices, Upcoming events, Stories and testimonials from the community, Not-for-profit work",Thank you 🙏
45693.4836259259,35–44,Female,"White (e.g., British, Irish, other European background)",No,Heterosexual,Employed,Atheism,East London,I was already a regular sauna user,Word of mouth,Weekly,Hackney Wick,Yes,Yes,5,"Improved mood, Assists me with my mental health resilience, Improved my health, Helped me connect with the outdoors",Yes,,No,sometimes it's too packed ,4,3,5,4,5,More signage (eg. to encourage people to shower after a sauna before a cold plunge) ,"No I do not, sorry ",More lockers ,Yes,Social Media,It's nice to have affordable sauna facilities like in the rest of Europe and foster a wellness / spa culture. It's never been a thing in London until now ,North East London,"Behind the scenes, Sauna etiquette or best practices, Upcoming events, Not-for-profit work",No 
45693.4985796412,25–34,Female,"White (e.g., British, Irish, other European background)",No,Bisexual/Pansexual,Self employed,Buddhism,North East London,I was already a regular sauna user,Word of mouth,Monthly,Hackney Wick,Not sure,Not sure,4,"Helped with physical pain management, Improved mood",Sometimes,could be hotter,Yes,,4,4,5,5,4,,no :(,cannot think of any,Yes,Event,"sense of belonging, socialising and wellbeing, affordable ",North East London,"Sauna etiquette or best practices, Upcoming events, Stories and testimonials from the community, Not-for-profit work",excited for the saunaverse!
45693.5086330208,45–54,Male,"White (e.g., British, Irish, other European background)",No,Heterosexual,Business owner,Not reducible to a checkbox,Outside the UK,I was already a regular sauna user,Website,Rarely,Hackney Wick,Yes,Yes,4,"Improved mood, Assists me with my mental health resilience, I made new friends at the sauna",Yes,,Yes,,4,5,5,4,4,,,,,,,,"Behind the scenes, Sauna etiquette or best practices, Not-for-profit work",
45693.5836254167,55–64,Male,"White (e.g., British, Irish, other European background)",No,Heterosexual,Self employed,Buddhism,East London,I was already a regular sauna user,Word of mouth,Rarely,Hackney Wick,Yes,Yes,5,"Improved mood, Assists me with my mental health resilience, Improved my health, Helped me connect with the outdoors",Yes,,Yes,,4,5,5,5,5,You must keep opening more locations so you don't become overcrowded as demand inevitably increases.,,make sure all the doors shut properly,No,,"basic human need for community spaces like this, to relax properly",,,Just thanks 
45693.650303588,35–44,Male,"White (e.g., British, Irish, other European background)",,Homosexual,Employed,Agnosticism,East London,Once or twice,Word of mouth,Weekly,Hackney Wick,Yes,Yes,4,Improved mood,Sometimes,,Yes,,3,4,5,5,3,I appreciate it might be a push but a warm shower for the end of the session would be lovely! ,None,,Yes,Posters,"I love the regularity of having a session with my friends once a week, getting up for it first thing and experiencing the changing of the seasons outdoors. I love having it as part of my routine, and am very thankful it is there. ",North East London,"Sauna health benefits, Upcoming events",Just wanted to say thank you for creating it! 
45693.6546724421,35–44,"Male, -if pushed","White (e.g., British, Irish, other European background), Other ethnic group (please specify): ______________",Yes,Heterosexual,Self employed,art feels,East London,not regularly but maybe ten or so times. ,Word of mouth,Monthly,Hackney Wick,Yes,Yes,4,"Helped with physical pain management, Improved mood, Improved sense of belonging to the local community., Assists me with my mental health resilience, Helped me connect with the outdoors",Yes,,Yes,,4,5,5,5,5,Honestly you've already improved things so much in the years I've been coming. I just need to come back more as have definitely had a drop-off in regularity. <3 you guys. ,,,Yes,through the newsletters and website,"Sauna makes body happy. plunge makes brain still. Warm staff and good atmosphere makes system relaxed. Good for body awareness, dealing with the overwhelm of London and taking care of self. ",,,"Really bless you all. Esp the wonderful staff. }

I've been loving it since it was more grotty and less busy, and still love now that it's more chic and popular. Very special space. And as a local very appreciative to have something so dear to my heart around the corner. "
45693.6689836458,25–34,Female,"White (e.g., British, Irish, other European background)",No,Heterosexual,Employed,Spiritual but not Religious,East London,I was already a regular sauna user,Word of mouth,Monthly,Hackney Wick,Yes,Yes,4,"Improved mood, Improved sense of belonging to the local community., Improved my health, I made new friends at the sauna",Sometimes,,No,Too many people unless is off-peak ,4,3,4,5,3,"Would love it if they were cleaner! and if people were more nudged to get showered. 
The staff are great but sometimes they come into the saunas with their shoes :( ",Pudding Mill Lane,More saunas!,Yes,Social Media,"Love the health improvements, vibes and the baths in general - thank you!",another one in hackney wick! haha,"Sauna etiquette or best practices, Upcoming events, Stories and testimonials from the community, Not-for-profit work",
45693.6727242708,25–34,Female,"White (e.g., British, Irish, other European background)",No,Homosexual,Employed,Buddhism,East London,I was already a regular sauna user,Word of mouth,Weekly,Hackney Wick,Yes,Yes,5,"Improved mood, Improved sense of belonging to the local community., Helped me connect with the outdoors, Increased my body confidence",Yes,sometimes they are not hot enough ,No,when I first came it was perfect you could choose which sauna to go in. Now it looses the relaxing feel when you have to go round each sauna looking for space and when you go to change  at end of session there's not enough space by changing rooms,5,3,5,5,5,I have a very low salary as I work for a charity that is linked to the NHS but don't have NHS card so I find the prices very high for evenings,Castle climbing center? in outside bit.,perhaps change the water more often or clean the floor. Have more obvious big signs about rinsing before going into to the cold baths ,No,,Very calming and sense of community. Being able to be outside in all weathers in the winter is really nice. Social and by yourself. ,North East London,"Sauna health benefits, Sauna etiquette or best practices, Upcoming events",
45693.8108077199,25–34,Female,"White (e.g., British, Irish, other European background)",Yes,Heterosexual,Employed,Agnosticism,North East London,Never,Instagram,Monthly,Hackney Wick,Yes,Yes,3,"Improved mood, Improved sense of belonging to the local community., Assists me with my mental health resilience, Increased my body confidence",Yes,,Yes,,4,3,4,4,4,,,"I actually quite like it how it is, so don’t think there are improvements. The showers can be cold so maybe warmer but that might not be feasible. It’s very busy now so I often find it hard to book in as frequently as I’d like",Yes,Booking information ,"It’s just really nice to unwind and have a self date with myself. It’s warm, makes me feel incredible relaxed afterwards and there’s no pressure to mingle with people, but if you’d like to it feels open most of the time ",North East London,"Sauna health benefits, Sauna etiquette or best practices, Not-for-profit work",Nope
45693.8327557523,25–34,Female,"White (e.g., British, Irish, other European background)",No,Bisexual/Pansexual,Employed,Atheism,West London,Once or twice,Word of mouth,Monthly,Stratford,Not sure,Yes,5,"Assists me with my mental health resilience, Helped me connect with the outdoors, A nice way to catch up with friends that doesn’t involve the pub",Yes,,Yes,,5,4,5,4,5,The water jug thing at Stratford isn’t the best at dispensing water ,,,Yes,Social Media,,South West London,"Sauna health benefits, Behind the scenes, Sauna etiquette or best practices, Upcoming events, Not-for-profit work",
45693.8410219329,35–44,Female,"White (e.g., British, Irish, other European background)",No,Heterosexual,Employed,Prefer not to say,South West London,Once or twice,Instagram,Monthly,Peckham,Not sure,Yes,5,"Improved mood, Improved sense of belonging to the local community., Assists me with my mental health resilience, Helped me connect with the outdoors",Yes,,Yes,,4,5,5,4,5,,,Aufguss and community type events at peckham / camberwell please like at the ones in the north,Yes,Social Media,,Youre already coming to ruskin park so im happy 😌,"Sauna health benefits, Sauna etiquette or best practices",Please keep going! Really hoping proper sauna culture catches on in the UK
45693.8818961574,25–34,Male,"White (e.g., British, Irish, other European background)",No,Heterosexual,Employed,Atheism,East London,Used to go frequently ,Instagram,Monthly,Stratford,No,Yes,4,"Improved my fitness performance, Improved mood, Assists me with my mental health resilience",Yes,,Yes,,3,4,4,4,2,,,,No,,,North East London,,
45693.9605944792,25–34,Male,Prefer not to say,No,Prefer not to Say,Employed,Prefer not to say,South West London,Once or twice,Word of mouth,Monthly,Peckham,Not sure,Yes,3,"Improved mood, Improved sense of belonging to the local community.",Yes,,Yes,,4,5,5,4,5,,,Finding slots that available to book is the worry is the worst part,No,,"Community based, affordable, high quality saunas close to home. What’s not to love ",South West London,"Sauna health benefits, Behind the scenes, Sauna etiquette or best practices, Upcoming events",
45694.0409318634,25–34,Female,"Mixed or multiple ethnic groups (e.g., White and Black Caribbean, White and Asian)",No,Bisexual/Pansexual,Employed,Spiritual but not Religious,South West London,Once or twice,Word of mouth,Monthly,Bermondsey,Yes,Yes,5,"Improved mood, Assists me with my mental health resilience, Improved my health, Helped me connect with the outdoors",Yes,,Yes,,4,5,4,5,5,"Locations closer to SW9, but I know you have Camberwell opening soon :)",No sorry,,Yes,Social Media,"The health benefits, the community, the shared and common interest and goal",South West London,"Sauna health benefits, Behind the scenes, Upcoming events",Thank you for an exceptional service! 
45694.2952353241,25–34,Male,"Mixed or multiple ethnic groups (e.g., White and Black Caribbean, White and Asian)",No,Heterosexual,Employed,Christianity,South West London,Once or twice,Word of mouth,Monthly,Hackney Wick,Yes,Yes,4,"Improved mood, Assists me with my mental health resilience",Yes,,No,"Sometimes there are too many people, which means it takes longer to get changed. ",3,5,5,5,4,More saunas. ,,More changing areas. ,Yes,Social Media,Helps make me feel good. ,South West London,"Sauna health benefits, Behind the scenes, Stories and testimonials from the community",
45694.3035879398,25–34,Female,"White (e.g., British, Irish, other European background)",No,Heterosexual,Employed,Agnosticism,South East London,Never,Word of mouth,Monthly,Peckham,Not sure,Yes,4,"Improved mood, Improved sense of belonging to the local community., Helped me connect with the outdoors",Sometimes,Sometimes not warm enough and sometimes I've baths aren't cold enough. Seem to be fixed now though,Yes,,4,4,5,5,4,Bring back the old sauna at peckham which was bigger and had a window with a view of the Shard!,,Another sauna and ice bath (it gets booked up so far in advance now compared to 6 months ago),No,,"I love the invigorating feeling of combining the sauna with the ice baths. It helps boost my mood without fail, even if I'm already I'm a great mood. It brings a sense of community to London, where I find people don't often interact with one another in other settings",South East London,Upcoming events,
45694.3225066667,25–34,Female,Prefer not to say,Yes,Prefer not to Say,Self employed,Prefer not to say,Other (please specify): _______________,I came a few times,Word of mouth,Rarely,Hackney Wick,Not sure,Not sure,5,"Improved my fitness performance, Improved mood, Improved sense of belonging to the local community., Helped me connect with the outdoors, I made new friends at the sauna, Increased my body confidence",Yes,,Yes,,4,4,5,5,2,Great to have tier tickets  depending on income ,,,No,,,South London on northernline,"Sauna health benefits, Behind the scenes, Sauna etiquette or best practices, Upcoming events, Not-for-profit work",
45694.3437714815,35–44,Female,"White (e.g., British, Irish, other European background)",No,Heterosexual,Employed,Atheism,South East London,I was already a regular sauna user,Word of mouth,Weekly,Bermondsey,Yes,Yes,5,"Improved mood, Assists me with my mental health resilience, Helped me connect with the outdoors",Yes,,Yes,,4,3,5,5,5,"I think that the more popular it has got (which is great news!) more groups of people come which are quite loud and have an impact on the ambience. Also I notice a lot of people not showering before plunging in the cold water and that makes me feel the water is not clean enough for me to plunge in.
I think a hot shower for after saunering would make a big difference as then you could feel really clean afterwards and go out to your day. I know it sounds a little silly but fitting it into your day is key. Perhaps a little changing station with a hairdryer, mirror etc might be a nice addition to the ones that are purely outside. 
More in South London please! They have become such a vital part of my wellbeing and I'm extremely grateful the saunas, and you all, exist!! Thank you!!! ",Brockwell Park maybe?,See previous answer! ,Yes,Social Media,Very important for my wellbeing and a vital part of my weekly de-stress ,South East London,"Sauna health benefits, Sauna etiquette or best practices, Upcoming events, Not-for-profit work",
45694.3478971065,35–44,Male,Other ethnic group (please specify): ______________,No,Heterosexual,Employed,Atheism,South East London,Once or twice,Community events,Weekly,Peckham,Not sure,Not sure,5,"Improved mood, Improved sense of belonging to the local community., it's a wholesome activity, conveniently located, that I enjoy alone or with friends",Yes,,Yes,Peckham (closest location to me) is often fully booked & counting on walk-in sessions feels precarious,3,4,5,5,3,1 more sauna in Peckham & more changing facilities,Kennington Park,Water drainage (from showers & plunge pools)in Peckham could be better,No,your mailing list,,Central London,"Sauna etiquette or best practices, Upcoming events",
45694.3927577431,45–54,Male,"White (e.g., British, Irish, other European background)",No,Heterosexual,Employed,Atheism,East London,I was already a regular sauna user,Website,Weekly,Stratford,Not sure,Yes,5,"Helped with physical pain management, Improved mood, Improved my health",Yes,,Yes,,5,5,5,5,5,,,"I noticed that dipping pools frequently could have a subtly stale water, I wonder if adding chlorine tablets are a reasonable compromise",No,,,Upminster,,
45694.3995066435,25–34,Male,"White (e.g., British, Irish, other European background)",No,Prefer not to Say,Employed,Prefer not to say,North West London,Once or twice,Word of mouth,Monthly,Hackney Wick,Not sure,Not sure,4,Improved my health,Yes,,Yes,,3,3,5,4,5,,,,No,,,North West London,"Sauna health benefits, Sauna etiquette or best practices",
45694.4086028935,35–44,Male,"White (e.g., British, Irish, other European background)",No,Heterosexual,Employed,Agnosticism,East London,I was already a regular sauna user,Word of mouth,Rarely,Hackney Wick,Yes,Yes,3,Relaxing,Yes,,Yes,,3,4,4,5,4,,No,None,No,,,,,
45694.4670837384,25–34,Male,"White (e.g., British, Irish, other European background)",No,Heterosexual,Self employed,Agnosticism,East London,Once or twice,Word of mouth,Weekly,Stratford,Not sure,Yes,3,"Helped with physical pain management, Improved mood",Yes,,Yes,,4,5,5,4,4,,id love one in stoke Newington!,easier booking,No,,helps me unwind and relaxes sore limbs!,North East London,Sauna health benefits,
45694.483289375,25–34,Female,"Asian or Asian British (e.g., Indian, Pakistani, Bangladeshi, Chinese)",No,Heterosexual,Employed,N/A,East London,Once or twice,Word of mouth,Rarely,Stratford,Not sure,Yes,3,"Improved mood, Improved sense of belonging to the local community., Helped me connect with the outdoors, I made new friends at the sauna, Increased my body confidence",Yes,,Yes,,4,4,4,4,4,,,,No,,,South East London,Behind the scenes,
45694.4836341898,25–34,Male,"White (e.g., British, Irish, other European background)",Yes,Homosexual,Employed,Agnosticism,South East London,I was already a regular sauna user,Word of mouth,Monthly,Bermondsey,Yes,Yes,4,"Helped with physical pain management, Improved my fitness performance, Improved mood, Assists me with my mental health resilience, Improved my health, Helped me connect with the outdoors, Increased my body confidence",Yes,,Yes,"Sessions are increasingly rowdy; the group size is not a problem, but behavior can be.",3,4,2,4,4,"Pleased to see introduction of quiet sauna at Bermondsey. Better attention to etiquette, also amongst staff. Otherwise great!",Vacant sites along Deptford Creek,More changing spaces - can get busy between sessions. Otherwise perfect!,No,,"A space to set aside time for wellbeing, quiet and mental health. Also I appreciate that it is pushing a growing interest in sauna that I would love to become more normalised nationally!",South East London,"Sauna etiquette or best practices, Upcoming events",I struggle to engage with the community element. I usually visit alone and prefer to focus on my own wellbeing. My experience is that groups of friends often have loud conversations can be quite disruptive and non-inclusive.
45694.5627221644,25–34,Non-binary,"White (e.g., British, Irish, other European background)",Yes,Bisexual/Pansexual,Self employed,Prefer not to say,South East London,Once or twice,Word of mouth,Monthly,Bermondsey,No,No,5,"Helped with physical pain management, Improved mood, Assists me with my mental health resilience, Increased my body confidence",Yes,,Yes,,3,4,5,4,4,,,Fruit in the sauna! Actually quiet sauna,No,,"I like going with friends, it helps me take care of my body/ mind well being",Forest hill!,"Sauna health benefits, Behind the scenes, Sauna etiquette or best practices, Upcoming events",
45694.6055887847,45–54,Female,"White (e.g., British, Irish, other European background)",No,Heterosexual,Employed,Agnosticism,East London,Once or twice,Word of mouth,Rarely,Stratford,Not sure,Yes,4,"Improved mood, Improved sense of belonging to the local community., Helped me connect with the outdoors",Yes,,Yes,,3,5,5,5,4,,Epping Forest would be cool maybe at Highams Park lake or High Beach,,No,,It’s a great way to make sauna and it’s benefits accessible to people who would not necessarily be aware of it  ,,Sauna health benefits,
45694.6906002431,35–44,Female,"Mixed or multiple ethnic groups (e.g., White and Black Caribbean, White and Asian)",No,Heterosexual,Self employed,Agnosticism,North East London,did around 5 to 6 sessions. Love the Hackney wick sauna but can't afford to do it that regularly.,Word of mouth,Monthly,Hackney Wick,Yes,Yes,5,"Improved mood, Improved sense of belonging to the local community., Assists me with my mental health resilience, Improved my health, Helped me connect with the outdoors, Increased my body confidence",Yes,,Yes,,4,5,5,5,2,perhaps more changing rooms to use at the end of the sessions? ,I can't wait for the Walthamstow Sauna to be open!,,No,,It helps enormously with my mental health. I am an artist and freelancer and coming to the sauna helps me realise from the pressures and changes on work load and it helps me connect with other like minded local people in a very safe environment. I wish I was able do this weekly the improvements would be way more tangible.,North East London,"Sauna health benefits, Sauna etiquette or best practices, Upcoming events",I love it! keep up the great work.
45694.6910088657,25–34,Male,"Mixed or multiple ethnic groups (e.g., White and Black Caribbean, White and Asian), White (e.g., British, Irish, other European background)",No,Homosexual,Self employed,Prefer not to say,East London,I was already a regular sauna user,Word of mouth,Monthly,Hackney Wick,Yes,Yes,5,"Improved mood, Improved sense of belonging to the local community., Improved my health, I made new friends at the sauna",Yes,,Yes,,4,4,4,4,5,Warm showers,,,No,,"Health, community, and fun!",South East London,"Sauna health benefits, Behind the scenes, Sauna etiquette or best practices, Upcoming events, Stories and testimonials from the community, Not-for-profit work",
45694.6952660532,25–34,Female,"White (e.g., British, Irish, other European background)",No,Bisexual/Pansexual,Employed,Atheism,Central London,Occasional sauna user - on special occasions!,Instagram,Rarely,Bermondsey,Yes,Yes,3,"Improved mood, Assists me with my mental health resilience, Helped me connect with the outdoors, I made new friends at the sauna, Increased my body confidence",Yes,,Yes,,4,4,4,4,4,NA,NA,More events at different locations!,No,,"It's a great place for me to connect with friends, fully relax and unwind, leave the stress of the outside world at the gate...",South East London,"Sauna health benefits, Behind the scenes, Sauna etiquette or best practices, Upcoming events, Stories and testimonials from the community, Not-for-profit work",I just love it!
45694.9097186458,25–34,Male,"White (e.g., British, Irish, other European background)",No,Heterosexual,Employed,Spiritual but not Religious,South East London,I was already a regular sauna user,Word of mouth,Weekly,Bermondsey,Yes,Yes,5,"Improved mood, Improved sense of belonging to the local community., Improved my health, I made new friends at the sauna",Sometimes,I would like to see a hotter range of temperatures ,Yes,,5,5,5,5,5,"I think the 1.5 hour slots work a lot better than the 1hr slots to relieve the busy change overs at the small sites. It would also be very useful if there were better means to lock up bikes at the bersmondsey site, i think this is a widely shared viewpoint ",Southwark park area where the old guides hut is located,,Yes,Posters,"it's a really social, healthy and relaxing activity to have access to ",South East London,,
45695.3593108912,35–44,Female,"White (e.g., British, Irish, other European background)",No,Heterosexual,Employed,Atheism,South East London,Once or twice,Instagram,Monthly,Bermondsey,No,Yes,4,"Improved mood, Assists me with my mental health resilience",Yes,,Yes,,3,4,5,5,5,,,the ground at Bermondsey often has water pooling by some of the lockers so better drainage. also more seating,Yes,Social Media,Its one of the best things I do for my mental health and relieves anxiety. I love the community ethos and commitment to affordable prices. ,South East London,"Sauna etiquette or best practices, Upcoming events, Not-for-profit work",
45695.4162195486,35–44,Male,"White (e.g., British, Irish, other European background)",No,Prefer not to Say,Self employed,Spiritual but not Religious,East London,I was already a regular sauna user,HW community,Weekly,Hackney Wick,Not sure,Yes,5,"Improved sense of belonging to the local community., Fun thing to do, outside the pub, which I also love. The pub without booze",Yes,,No,"Erratic, sometimes impossible to book, sometimes very easy. The 24 hour cancellation thing should be removed - either commit, or don't. This new found booking system is ruining London and any spontaneity. Plans change but this should be handled on a case-by-case basis.",4,4,4,5,3,"By comparison with Scandinavian countries, and given the company structure, the cost is prohibitively high for some lower income people. Obviously lots of costs associated with running, but capping at £10 for a block-booking user (e.g. 10-pass pack), or offering a season pass (e.g. 3/6/12 months) would really help.",Yes,,No,,London needs more affordable and accessoble saunsa!,North East London,,Keep up the great work!
45695.5254421296,35–44,Male,"White (e.g., British, Irish, other European background)",No,Heterosexual,Employed,Spiritual but not Religious,East London,Once or twice,Word of mouth,Weekly,Hackney Wick,Yes,Yes,5,"Improved mood, Improved sense of belonging to the local community., Assists me with my mental health resilience, Improved my health, I made new friends at the sauna, Increased my body confidence",Yes,,No,It gets too busy now - often not being able to find a locker or even space that is at the best I want.,4,3,5,5,5,Toilets inside the Hackney baths are often a nightmare. Might be time to have your own somehow. ,,"Signs reminding people to shower before plunging attached to the plunges. People neeed to be reminded. New and old, regulars and first timers. Please. It only works if everyone does it. ",Yes,Newsletter,"I notice it more when I don’t go to sauna. No matter who you are or what your background, you can find community. Ego seems to soften and time slows down. It’s a third space that encourages health and positivity without ego, unlike a gym, or substance based escapism, unlike a pub. It’s so special to me. ",Central London,"Sauna etiquette or best practices, Upcoming events",Watching this space evolve over the years has been a privilege. Thank you to all the staff (and cats). 
45695.6108209491,45–54,Female,"Mixed or multiple ethnic groups (e.g., White and Black Caribbean, White and Asian)",No,Heterosexual,Self employed,Spiritual but not Religious,East London,Once or twice,Friend recommended ,Rarely,Hackney Wick,Yes,Yes,5,"Improved mood, Improved my health, Helped me connect with the outdoors, Increased my body confidence",Yes,,Yes,,5,4,5,5,5,,Wetland area just behind the Chingford road,,Yes,Social Media,My skin and heart ,South East London,"Sauna health benefits, Upcoming events",
45695.6139447222,25–34,Female,"White (e.g., British, Irish, other European background)",No,Heterosexual,Self employed,Spiritual but not Religious,East London,I was already a regular sauna user,Word of mouth,Rarely,Hackney Wick,Not sure,Not sure,4,"Improved sense of belonging to the local community., I made new friends at the sauna",Sometimes,,No,I stopped coming because it became too busy and lost the initial community feel,3,2,3,3,3,not using toxic products to clean ,,,No,,,,Not-for-profit work,
